ds,precip,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24,station_id
2006-06-01,0.4,-1.327103274488091,0.5297452905615789,0.8975345546182549,0.4162030109616391,-0.46560526032393174,-1.005996000699816,40712
2006-07-01,0.1,-1.5008368172280455,-0.6520945477044049,0.5599799666075976,0.38963492656441273,-0.466979145483279,-1.1353431373909602,40712
2006-08-01,2.02,-0.9319265794005772,-2.026238013333242,-0.20495014613788426,0.17251252895638752,-0.4868821616534121,-1.118730225032572,40712
2006-09-01,0.4,-1.327103274488091,-2.026238013333242,-0.5847038618571812,0.04866332455711594,-0.48700760009511984,-1.1155126043436727,40712
2006-10-01,117.94,2.020563573562011,0.8050600641459158,0.1088286425226725,0.9488640373062209,0.7857625046598866,-0.24025410198639527,40712
2006-11-01,71.51,1.376577036771007,1.4158512209749092,0.6168718223825616,1.0043796138950953,1.2585409710852158,-0.09621068104434274,40712
2006-12-01,14.93,0.009911677424720993,1.5249179892892928,0.7633033671864252,0.8999257700811506,1.2947272175598943,-0.08604069614735776,40712
2007-01-01,8.54,-0.319777008901331,0.525337190837789,0.8453064764068099,0.2678369948062028,1.061492770885663,-0.1708902442301317,40712
2007-02-01,19.97,0.20829158280287233,-0.25597100762906266,1.0130343045063341,0.19508088959197298,0.616925580575482,-0.24770279130243042,40712
2007-03-01,48.57,0.9608014833725661,0.29695125379910126,1.4256646902055468,0.7172028125181649,0.8433147809590614,0.04818499130712119,40712
2007-04-01,64.15,1.253339489263578,0.9272795969428336,0.9614443217996244,1.328240657911241,0.7997660451328584,0.27790937427896867,40712
2007-05-01,28.1,0.46882784472895883,1.0039528241091127,0.5319743408953105,1.556142192566475,0.8170506685032656,0.19519350980664435,40712
2007-06-01,24.34,0.35534864494756585,0.7660974950642295,0.6302612675084933,1.7565514677026153,1.0457806757008898,0.34989916447776626,40712
2007-07-01,28.81,0.48915024334573676,0.353065590870317,0.8318501492215371,0.9648356045592548,1.308620690606747,0.5317636958804218,40712
2007-08-01,1.34,-1.0568459873777853,-0.04928878763688419,0.6470690020864887,0.22887347890089366,1.302529501362523,0.5175135840188126,40712
2007-09-01,0.0,-1.6504481369357007,-0.5611007691287734,0.10327752300031286,0.05428393414463167,1.2989435211880525,0.514936456586853,40712
2007-10-01,2.53,-0.8551125081579988,-1.8304759585487669,-0.8023495730490833,-0.01819245103169238,0.15615438751996852,0.5149993254619276,40712
2007-11-01,20.03,0.21044475316722702,-0.782061113578918,-0.9521978786510626,-0.017462318546024216,-0.44579017870397664,0.507450731870567,40712
2007-12-01,18.4,0.15039322311838785,-0.30730636621879465,-1.0697464095055376,-0.4031180455648177,-0.40282720957622015,0.5544244876498072,40712
2008-01-01,28.17,0.4708458567942064,0.14632244866874786,-1.082822699639121,-0.922762956538542,-0.16666795295366862,0.5177649566176749,40712
2008-02-01,45.57,0.8981103825884624,0.49112093866607337,-0.3256652277454921,-0.6609980373594527,0.12541874337152326,0.3896966608260619,40712
2008-03-01,9.11,-0.28475139858771126,0.3740872453417723,-0.19621066889677177,-0.8880770633689636,-0.33222114906512873,0.2824081280548564,40712
2008-04-01,17.15,0.10195599959069805,0.22334081038729067,-0.0013512988982491995,-1.072633775734302,-0.9404981178993609,-0.06230706441984491,40712
2008-05-01,11.05,-0.17543861915116213,-0.387004633189628,-0.11928435756616657,-0.9182525392976701,-1.1827500557100228,-0.16843754551152482,40712
2008-06-01,9.23,-0.27756428132445354,-0.38429864495866445,-0.24557634793680663,-0.7776949552053452,-1.4092476212515606,-0.10688304555417702,40712
2008-07-01,1.7,-0.98672201578251,-0.8010736896901943,-0.6517464497279015,-0.7901042862389841,-1.848956456011635,-0.09579524989795704,40712
2008-08-01,0.64,-1.237721528896414,-1.2317233456901244,-1.5849955653446899,-1.0935243293341457,-1.8609616180305804,-0.10535728533683858,40712
2008-09-01,8.26,-0.33755349655925954,-1.2853961154451812,-1.6078369405421866,-1.2638697613562297,-1.721531737501456,-0.05109303783939943,40712
2008-10-01,120.81,2.0550265814662163,0.8984286240214164,0.16372538939667833,0.05069722283278359,-0.10003990200610002,-0.031397487998438084,40712
2008-11-01,13.75,-0.04270729323289124,1.0223821518584433,0.19614291708069223,-0.3496866017491491,-0.1733681891534887,-0.44057569356122783,40712
2008-12-01,8.37,-0.33052282448453874,1.023391016144086,0.18585867614464577,-0.359514075444629,-0.2927772858101542,-0.48886142270402155,40712
2009-01-01,10.51,-0.20449601189960875,-0.49774300277872635,0.28945387846694504,-0.4488729767031912,-0.5103966083631579,-0.47431951457241744,40712
2009-02-01,7.52,-0.38654884492932284,-0.6644673852149788,0.3677862710992394,-0.497271155362051,-1.0165099684350203,-0.5668310137048943,40712
2009-03-01,73.14,1.4028303422086275,0.4792758249783377,1.0204036539171335,0.2964263772381254,-0.19352325797146297,-0.38563042846491846,40712
2009-04-01,24.47,0.35945249728478296,0.6424204983579013,-0.009969064046611593,0.5453353908490227,-0.10781211339274255,-0.6811097555528717,40712
2009-05-01,4.84,-0.5970606419905625,0.6122490684867161,-0.12735867222544592,0.5897035295396629,-0.18043083477655616,-0.8615732295306142,40712
2009-06-01,32.73,0.5960008347931689,0.07575845335879283,0.18202217382134622,0.8396414142730263,0.08902966752730608,-0.7958214702816182,40712
2009-07-01,0.02,-1.5932236234103334,-0.38070021213259314,0.05317383910823256,-0.5731321459709192,0.07023370088007093,-1.0247083336926288,40712
2009-08-01,0.0,-1.6504481369357007,-0.4947662586701549,-0.043159107103972943,-0.7723262399264055,0.06305516768673049,-1.0355919222749277,40712
2009-09-01,29.91,0.520017268943018,-0.5668999226935884,-0.6827957335209159,-0.46498073294931586,0.30052308087182106,-0.797535949270412,40712
2009-10-01,10.33,-0.21440101857308436,-0.32261849077252963,-0.9372444706415123,-0.4674440436795102,-1.051955956005422,-0.7370611659500553,40712
2009-11-01,69.61,1.345519908660598,0.694366180583136,0.051663739045699396,0.3003659636584579,-0.32129988478375715,-0.3667033346463441,40712
2009-12-01,28.91,0.49198690426609526,0.6834833357444936,0.003139359100297205,-0.23062376943063667,-0.07841073970871847,-0.29108726403803703,40712
2010-01-01,17.32,0.10867563998766513,0.758250030959406,0.21624191700269677,-0.3236488654880645,-0.0004183634689768573,-0.3691655368069079,40712
2010-02-01,25.53,0.3924051478728061,0.2223353347751128,0.5037029529288107,-0.060403789036532776,0.20027945256325091,-0.5161224204525117,40712
2010-03-01,60.41,1.1874405386659581,0.6214216383894325,0.8141744411859663,0.266362630935265,0.0592374747921182,-0.14689621115060414,40712
2010-04-01,92.97,1.6977232739526291,1.3302880251639995,1.5314785074052493,1.2101529497143142,0.7774220466624719,0.3611110864744095,40712
2010-05-01,78.53,1.4872431694415025,1.7192247647868966,1.6008199261322171,1.8820000087215865,1.4588244506233012,0.7816821482236314,40712
2010-06-01,3.32,-0.7539426171653728,1.2974688432917076,1.398251241855156,1.6644479256088094,1.1963633576732562,0.7459001679710506,40712
2010-07-01,0.0,-1.6504481369357007,0.36098066060531026,1.2543502829640696,1.5773617499525485,1.1961808488974086,0.7355719564965386,40712
2010-08-01,27.2,0.4425922129925684,-0.5514160258290002,1.2684853569772248,1.2028124383897212,1.4393230392373646,0.8951453605128874,40712
2010-09-01,0.12,-1.4842600282965577,-0.6381696432412343,0.716092908609566,0.9306953173613973,1.1724976969852612,0.8466410222576221,40712
2010-10-01,11.01,-0.17755837664128282,-0.3641971882063535,-0.2469890872454623,0.8688478710768438,1.1787249656692254,0.1549565049099775,40712
2010-11-01,0.0,-1.6504481369357007,-1.25562715217631,-1.7895478582953235,0.6095220705784504,0.5030261182330322,0.06284634799955896,40712
2010-12-01,12.91,-0.0820011411471445,-0.7388477891970359,-1.523066711184243,0.0809637025293688,0.33525733273996855,0.09340942590741005,40712
2011-01-01,33.89,0.6260567155946288,-0.18959743692516196,-0.8021702175435294,-0.6930542998780631,0.5089071553709115,0.24849149176611623,40712
2011-02-01,18.01,0.13551701022696658,0.11902587835459585,-0.9736634029968787,-1.7159856367585238,0.4307972598167275,0.31685849060075466,40712
2011-03-01,69.16,1.3380902406445685,0.8122078498746222,0.08145630095537514,-0.6163688686480018,0.5215760487838874,0.29100560950583665,40712
2011-04-01,117.92,2.020321728614404,1.5301236423954874,1.1782886811822733,0.7804522929655335,0.7724117779736609,0.8724858129881474,40712
2011-05-01,45.85,0.9040670954567918,1.7261471720450139,1.5548674070394857,0.9643524340354439,0.441458775391791,1.1125164900158788,40712
2011-06-01,9.51,-0.26103217830381853,1.2849880441842594,1.5282596857631099,1.0542149411952086,0.5057094910016089,0.9776475053697233,40712
2011-07-01,0.21,-1.422505736763754,-0.030702080660506875,1.2535020428313637,0.9507060257132103,0.5078758575562078,0.9787619211584181,40712
2011-08-01,9.01,-0.29078881774293125,-0.9150715988544358,1.1762938093266906,1.0372187405640003,0.31690336519755335,1.0314012413162452,40712
2011-09-01,17.12,0.10076568050024019,-0.6662054517352617,0.6908055386424428,1.0770947376812492,0.4955882700031174,0.9565566199720853,40712
2011-10-01,29.66,0.5130660603953852,-0.026946391645815918,-0.3748855730627695,1.037028486890717,0.6850410006856634,1.0693585133810606,40712
2011-11-01,53.48,1.0584737765025365,0.5872102169954188,-0.26386249716639376,1.362914269037323,1.195176948880183,0.9753594501069766,40712
2011-12-01,5.21,-0.5639977813071855,0.44436119137179797,-0.3258111202192205,0.7577495232367797,1.1244713426403525,0.8348496722798666,40712
2012-01-01,16.02,0.05614663995177805,0.26415111266422625,-0.10521504570616982,-0.4251128409164724,0.9569696513762181,0.8270572540944294,40712
2012-02-01,6.42,-0.4656988991889345,-0.6288934615044169,-0.14005978377577416,-1.002757649258425,0.8456434332057328,0.7114510557357019,40712
2012-03-01,21.75,0.2704741256132858,-0.24085229059221014,-0.0780977384578133,-0.8130954845392322,0.36542413256299805,0.47122182758970693,40712
2012-04-01,36.48,0.6909071562199138,0.11656121187569891,0.010564273339145155,-0.30420517311602646,-0.5793424262241902,0.10334053112122865,40712
2012-05-01,24.66,0.36542538703383287,0.37460931926232127,-0.387123902492535,-0.10444151761281567,-0.8585405936303522,-0.2688217746475388,40712
2012-06-01,9.52,-0.2604477546168967,0.20644768749950826,-0.3234778837581482,-0.2001553740267354,-0.858404770874405,-0.2248184083671346,40712
2012-07-01,3.83,-0.6968200079183645,-0.37130569020338927,-0.508040957449459,-0.5447784255969227,-0.8095001581348412,-0.1977945210175346,40712
